execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	independence	model	model_sort	model_context	model_adjustment	model_note
1	alcohol_yes_female	1	alcoholism_control_case_1	1	logistic	births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	1	1	joint	adjust	joint adjust
1	alcohol_yes_female	1	alcoholism_control_case_1	1	logistic	oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	2	2	joint	unadjust	joint unadjust
1	alcohol_yes_female	1	alcoholism_control_case_1	1	logistic	births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation	3	3	marginal	adjust	marginal adjust oestradiol
1	alcohol_yes_female	1	alcoholism_control_case_1	1	logistic	births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;testosterone_imputation	4	4	marginal	adjust	marginal adjust testosterone
1	alcohol_yes_female	1	alcoholism_control_case_1	1	logistic	births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;steroid_globulin_imputation	5	5	marginal	adjust	marginal adjust steroid globulin
1	alcohol_yes_female	1	alcoholism_control_case_1	1	logistic	births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;albumin_imputation	6	6	marginal	adjust	marginal adjust albumin
1	alcohol_yes_female	1	alcoholism_control_case_1	1	logistic	oestradiol_imputation	7	7	marginal	unadjust	marginal unadjust oestradiol
1	alcohol_yes_female	1	alcoholism_control_case_1	1	logistic	testosterone_imputation	8	8	marginal	unadjust	marginal unadjust testosterone
1	alcohol_yes_female	1	alcoholism_control_case_1	1	logistic	steroid_globulin_imputation	9	9	marginal	unadjust	marginal unadjust steroid globulin
1	alcohol_yes_female	1	alcoholism_control_case_1	1	logistic	albumin_imputation	10	10	marginal	unadjust	marginal unadjust albumin
1	alcohol_yes_female_menstruation_regular	2	alcoholism_control_case_1	1	logistic	menstruation_phase_cycle;birth_live_recent;births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	1	1	joint	adjust	joint adjust
1	alcohol_yes_female_menstruation_regular	2	alcoholism_control_case_1	1	logistic	oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	2	2	joint	unadjust	joint unadjust
1	alcohol_yes_female_menstruation_regular	2	alcoholism_control_case_1	1	logistic	menstruation_phase_cycle;birth_live_recent;births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation	3	3	marginal	adjust	marginal adjust oestradiol
1	alcohol_yes_female_menstruation_regular	2	alcoholism_control_case_1	1	logistic	menstruation_phase_cycle;birth_live_recent;births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;testosterone_imputation	4	4	marginal	adjust	marginal adjust testosterone
1	alcohol_yes_female_menstruation_regular	2	alcoholism_control_case_1	1	logistic	menstruation_phase_cycle;birth_live_recent;births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;steroid_globulin_imputation	5	5	marginal	adjust	marginal adjust steroid globulin
1	alcohol_yes_female_menstruation_regular	2	alcoholism_control_case_1	1	logistic	menstruation_phase_cycle;birth_live_recent;births;menopause_ordinal;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;albumin_imputation	6	6	marginal	adjust	marginal adjust albumin
1	alcohol_yes_female_menstruation_regular	2	alcoholism_control_case_1	1	logistic	oestradiol_imputation	7	7	marginal	unadjust	marginal unadjust oestradiol
1	alcohol_yes_female_menstruation_regular	2	alcoholism_control_case_1	1	logistic	testosterone_imputation	8	8	marginal	unadjust	marginal unadjust testosterone
1	alcohol_yes_female_menstruation_regular	2	alcoholism_control_case_1	1	logistic	steroid_globulin_imputation	9	9	marginal	unadjust	marginal unadjust steroid globulin
1	alcohol_yes_female_menstruation_regular	2	alcoholism_control_case_1	1	logistic	albumin_imputation	10	10	marginal	unadjust	marginal unadjust albumin
1	alcohol_yes_female_premenopause	3	alcoholism_control_case_1	1	logistic	menstruation_phase_cycle;birth_live_recent;births;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	1	1	joint	adjust	joint adjust
1	alcohol_yes_female_premenopause	3	alcoholism_control_case_1	1	logistic	oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	2	2	joint	unadjust	joint unadjust
1	alcohol_yes_female_premenopause	3	alcoholism_control_case_1	1	logistic	menstruation_phase_cycle;birth_live_recent;births;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation	3	3	marginal	adjust	marginal adjust oestradiol
1	alcohol_yes_female_premenopause	3	alcoholism_control_case_1	1	logistic	menstruation_phase_cycle;birth_live_recent;births;hysterectomy;age;body_log;region;season;alteration_sex_hormone;testosterone_imputation	4	4	marginal	adjust	marginal adjust testosterone
1	alcohol_yes_female_premenopause	3	alcoholism_control_case_1	1	logistic	menstruation_phase_cycle;birth_live_recent;births;hysterectomy;age;body_log;region;season;alteration_sex_hormone;steroid_globulin_imputation	5	5	marginal	adjust	marginal adjust steroid globulin
1	alcohol_yes_female_premenopause	3	alcoholism_control_case_1	1	logistic	menstruation_phase_cycle;birth_live_recent;births;hysterectomy;age;body_log;region;season;alteration_sex_hormone;albumin_imputation	6	6	marginal	adjust	marginal adjust albumin
1	alcohol_yes_female_premenopause	3	alcoholism_control_case_1	1	logistic	oestradiol_imputation	7	7	marginal	unadjust	marginal unadjust oestradiol
1	alcohol_yes_female_premenopause	3	alcoholism_control_case_1	1	logistic	testosterone_imputation	8	8	marginal	unadjust	marginal unadjust testosterone
1	alcohol_yes_female_premenopause	3	alcoholism_control_case_1	1	logistic	steroid_globulin_imputation	9	9	marginal	unadjust	marginal unadjust steroid globulin
1	alcohol_yes_female_premenopause	3	alcoholism_control_case_1	1	logistic	albumin_imputation	10	10	marginal	unadjust	marginal unadjust albumin
1	alcohol_yes_female_perimenopause	4	alcoholism_control_case_1	1	logistic	births;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	1	1	joint	adjust	joint adjust
1	alcohol_yes_female_perimenopause	4	alcoholism_control_case_1	1	logistic	oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	2	2	joint	unadjust	joint unadjust
1	alcohol_yes_female_perimenopause	4	alcoholism_control_case_1	1	logistic	births;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation	3	3	marginal	adjust	marginal adjust oestradiol
1	alcohol_yes_female_perimenopause	4	alcoholism_control_case_1	1	logistic	births;hysterectomy;age;body_log;region;season;alteration_sex_hormone;testosterone_imputation	4	4	marginal	adjust	marginal adjust testosterone
1	alcohol_yes_female_perimenopause	4	alcoholism_control_case_1	1	logistic	births;hysterectomy;age;body_log;region;season;alteration_sex_hormone;steroid_globulin_imputation	5	5	marginal	adjust	marginal adjust steroid globulin
1	alcohol_yes_female_perimenopause	4	alcoholism_control_case_1	1	logistic	births;hysterectomy;age;body_log;region;season;alteration_sex_hormone;albumin_imputation	6	6	marginal	adjust	marginal adjust albumin
1	alcohol_yes_female_perimenopause	4	alcoholism_control_case_1	1	logistic	oestradiol_imputation	7	7	marginal	unadjust	marginal unadjust oestradiol
1	alcohol_yes_female_perimenopause	4	alcoholism_control_case_1	1	logistic	testosterone_imputation	8	8	marginal	unadjust	marginal unadjust testosterone
1	alcohol_yes_female_perimenopause	4	alcoholism_control_case_1	1	logistic	steroid_globulin_imputation	9	9	marginal	unadjust	marginal unadjust steroid globulin
1	alcohol_yes_female_perimenopause	4	alcoholism_control_case_1	1	logistic	albumin_imputation	10	10	marginal	unadjust	marginal unadjust albumin
1	alcohol_yes_female_postmenopause	5	alcoholism_control_case_1	1	logistic	births;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	1	1	joint	adjust	joint adjust
1	alcohol_yes_female_postmenopause	5	alcoholism_control_case_1	1	logistic	oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	2	2	joint	unadjust	joint unadjust
1	alcohol_yes_female_postmenopause	5	alcoholism_control_case_1	1	logistic	births;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation	3	3	marginal	adjust	marginal adjust oestradiol
1	alcohol_yes_female_postmenopause	5	alcoholism_control_case_1	1	logistic	births;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;testosterone_imputation	4	4	marginal	adjust	marginal adjust testosterone
1	alcohol_yes_female_postmenopause	5	alcoholism_control_case_1	1	logistic	births;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;steroid_globulin_imputation	5	5	marginal	adjust	marginal adjust steroid globulin
1	alcohol_yes_female_postmenopause	5	alcoholism_control_case_1	1	logistic	births;oophorectomy;hysterectomy;age;body_log;region;season;alteration_sex_hormone;albumin_imputation	6	6	marginal	adjust	marginal adjust albumin
1	alcohol_yes_female_postmenopause	5	alcoholism_control_case_1	1	logistic	oestradiol_imputation	7	7	marginal	unadjust	marginal unadjust oestradiol
1	alcohol_yes_female_postmenopause	5	alcoholism_control_case_1	1	logistic	testosterone_imputation	8	8	marginal	unadjust	marginal unadjust testosterone
1	alcohol_yes_female_postmenopause	5	alcoholism_control_case_1	1	logistic	steroid_globulin_imputation	9	9	marginal	unadjust	marginal unadjust steroid globulin
1	alcohol_yes_female_postmenopause	5	alcoholism_control_case_1	1	logistic	albumin_imputation	10	10	marginal	unadjust	marginal unadjust albumin
1	alcohol_yes_male	6	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	1	1	joint	adjust	joint adjust
1	alcohol_yes_male	6	alcoholism_control_case_1	1	logistic	oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	2	2	joint	unadjust	joint unadjust
1	alcohol_yes_male	6	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation	3	3	marginal	adjust	marginal adjust oestradiol
1	alcohol_yes_male	6	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;testosterone_imputation	4	4	marginal	adjust	marginal adjust testosterone
1	alcohol_yes_male	6	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;steroid_globulin_imputation	5	5	marginal	adjust	marginal adjust steroid globulin
1	alcohol_yes_male	6	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;albumin_imputation	6	6	marginal	adjust	marginal adjust albumin
1	alcohol_yes_male	6	alcoholism_control_case_1	1	logistic	oestradiol_imputation	7	7	marginal	unadjust	marginal unadjust oestradiol
1	alcohol_yes_male	6	alcoholism_control_case_1	1	logistic	testosterone_imputation	8	8	marginal	unadjust	marginal unadjust testosterone
1	alcohol_yes_male	6	alcoholism_control_case_1	1	logistic	steroid_globulin_imputation	9	9	marginal	unadjust	marginal unadjust steroid globulin
1	alcohol_yes_male	6	alcoholism_control_case_1	1	logistic	albumin_imputation	10	10	marginal	unadjust	marginal unadjust albumin
1	alcohol_yes_male_age_low	7	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	1	1	joint	adjust	joint adjust
1	alcohol_yes_male_age_low	7	alcoholism_control_case_1	1	logistic	oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	2	2	joint	unadjust	joint unadjust
1	alcohol_yes_male_age_low	7	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation	3	3	marginal	adjust	marginal adjust oestradiol
1	alcohol_yes_male_age_low	7	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;testosterone_imputation	4	4	marginal	adjust	marginal adjust testosterone
1	alcohol_yes_male_age_low	7	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;steroid_globulin_imputation	5	5	marginal	adjust	marginal adjust steroid globulin
1	alcohol_yes_male_age_low	7	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;albumin_imputation	6	6	marginal	adjust	marginal adjust albumin
1	alcohol_yes_male_age_low	7	alcoholism_control_case_1	1	logistic	oestradiol_imputation	7	7	marginal	unadjust	marginal unadjust oestradiol
1	alcohol_yes_male_age_low	7	alcoholism_control_case_1	1	logistic	testosterone_imputation	8	8	marginal	unadjust	marginal unadjust testosterone
1	alcohol_yes_male_age_low	7	alcoholism_control_case_1	1	logistic	steroid_globulin_imputation	9	9	marginal	unadjust	marginal unadjust steroid globulin
1	alcohol_yes_male_age_low	7	alcoholism_control_case_1	1	logistic	albumin_imputation	10	10	marginal	unadjust	marginal unadjust albumin
1	alcohol_yes_male_age_middle	8	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	1	1	joint	adjust	joint adjust
1	alcohol_yes_male_age_middle	8	alcoholism_control_case_1	1	logistic	oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	2	2	joint	unadjust	joint unadjust
1	alcohol_yes_male_age_middle	8	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation	3	3	marginal	adjust	marginal adjust oestradiol
1	alcohol_yes_male_age_middle	8	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;testosterone_imputation	4	4	marginal	adjust	marginal adjust testosterone
1	alcohol_yes_male_age_middle	8	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;steroid_globulin_imputation	5	5	marginal	adjust	marginal adjust steroid globulin
1	alcohol_yes_male_age_middle	8	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;albumin_imputation	6	6	marginal	adjust	marginal adjust albumin
1	alcohol_yes_male_age_middle	8	alcoholism_control_case_1	1	logistic	oestradiol_imputation	7	7	marginal	unadjust	marginal unadjust oestradiol
1	alcohol_yes_male_age_middle	8	alcoholism_control_case_1	1	logistic	testosterone_imputation	8	8	marginal	unadjust	marginal unadjust testosterone
1	alcohol_yes_male_age_middle	8	alcoholism_control_case_1	1	logistic	steroid_globulin_imputation	9	9	marginal	unadjust	marginal unadjust steroid globulin
1	alcohol_yes_male_age_middle	8	alcoholism_control_case_1	1	logistic	albumin_imputation	10	10	marginal	unadjust	marginal unadjust albumin
1	alcohol_yes_male_age_high	9	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	1	1	joint	adjust	joint adjust
1	alcohol_yes_male_age_high	9	alcoholism_control_case_1	1	logistic	oestradiol_imputation;testosterone_imputation;steroid_globulin_imputation;albumin_imputation	2	2	joint	unadjust	joint unadjust
1	alcohol_yes_male_age_high	9	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;oestradiol_imputation	3	3	marginal	adjust	marginal adjust oestradiol
1	alcohol_yes_male_age_high	9	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;testosterone_imputation	4	4	marginal	adjust	marginal adjust testosterone
1	alcohol_yes_male_age_high	9	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;steroid_globulin_imputation	5	5	marginal	adjust	marginal adjust steroid globulin
1	alcohol_yes_male_age_high	9	alcoholism_control_case_1	1	logistic	age;body_log;region;season;alteration_sex_hormone;albumin_imputation	6	6	marginal	adjust	marginal adjust albumin
1	alcohol_yes_male_age_high	9	alcoholism_control_case_1	1	logistic	oestradiol_imputation	7	7	marginal	unadjust	marginal unadjust oestradiol
1	alcohol_yes_male_age_high	9	alcoholism_control_case_1	1	logistic	testosterone_imputation	8	8	marginal	unadjust	marginal unadjust testosterone
1	alcohol_yes_male_age_high	9	alcoholism_control_case_1	1	logistic	steroid_globulin_imputation	9	9	marginal	unadjust	marginal unadjust steroid globulin
1	alcohol_yes_male_age_high	9	alcoholism_control_case_1	1	logistic	albumin_imputation	10	10	marginal	unadjust	marginal unadjust albumin
