cohort	model	dependence	independence
female	complex	vitamin_d_log	assessment_region;assessment_season;age;body_log;menopause_ordinal;hormone_alteration
female	simple	vitamin_d_log	assessment_region;assessment_season;age;body_log
female	unadjust	vitamin_d_log	assessment_region;assessment_season;
female	complex	vitamin_d_imputation_log	assessment_region;assessment_season;age;body_log;menopause_ordinal;hormone_alteration
female	complex	vitamin_d_order	assessment_region;assessment_season;age;body_log;menopause_ordinal;hormone_alteration
female	complex	vitamin_d_detection	assessment_region;assessment_season;age;body_log;menopause_ordinal;hormone_alteration
female	complex	albumin	age;body_log;menopause_ordinal;hormone_alteration
female	complex	albumin_imputation	age;body_log;menopause_ordinal;hormone_alteration
female	complex	albumin_order	age;body_log;menopause_ordinal;hormone_alteration
female	complex	albumin_detection	age;body_log;menopause_ordinal;hormone_alteration
female	complex	steroid_globulin_log	age;body_log;menopause_ordinal;hormone_alteration
female	complex	steroid_globulin_imputation_log	age;body_log;menopause_ordinal;hormone_alteration
female	complex	steroid_globulin_order	age;body_log;menopause_ordinal;hormone_alteration
female	complex	steroid_globulin_detection	age;body_log;menopause_ordinal;hormone_alteration
female	complex	oestradiol_log	age;body_log;menopause_ordinal;hormone_alteration
female	complex	oestradiol_bioavailable_log	age;body_log;menopause_ordinal;hormone_alteration
female	complex	oestradiol_free_log	age;body_log;menopause_ordinal;hormone_alteration
female	complex	oestradiol_imputation	age;body_log;menopause_ordinal;hormone_alteration
female	complex	oestradiol_bioavailable_imputation	age;body_log;menopause_ordinal;hormone_alteration
female	complex	oestradiol_free_imputation	age;body_log;menopause_ordinal;hormone_alteration
female	complex	oestradiol_order	age;body_log;menopause_ordinal;hormone_alteration
female	complex	oestradiol_detection	age;body_log;menopause_ordinal;hormone_alteration
female	complex	testosterone_log	age;body_log;menopause_ordinal;hormone_alteration
female	complex	testosterone_bioavailable_log	age;body_log;menopause_ordinal;hormone_alteration
female	complex	testosterone_free_log	age;body_log;menopause_ordinal;hormone_alteration
female	complex	testosterone_imputation	age;body_log;menopause_ordinal;hormone_alteration
female	complex	testosterone_bioavailable_imputation	age;body_log;menopause_ordinal;hormone_alteration
female	complex	testosterone_free_imputation	age;body_log;menopause_ordinal;hormone_alteration
female	complex	testosterone_order	age;body_log;menopause_ordinal;hormone_alteration
female	complex	testosterone_detection	age;body_log;menopause_ordinal;hormone_alteration
female_premenopause	complex	vitamin_d_log	assessment_region;assessment_season;age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	vitamin_d_imputation_log	assessment_region;assessment_season;age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	vitamin_d_order	assessment_region;assessment_season;age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	vitamin_d_detection	assessment_region;assessment_season;age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	albumin	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	albumin_imputation	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	albumin_order	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	albumin_detection	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	steroid_globulin_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	steroid_globulin_imputation_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	steroid_globulin_order	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	steroid_globulin_detection	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	oestradiol_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	alternate_one	oestradiol_log	age;body_log;menstruation_phase;hormone_alteration
female_premenopause	alternate_two	oestradiol_log	age;body_log;menstruation_phase_early_late;hormone_alteration
female_premenopause	simple	oestradiol_log	age;body_log
female_premenopause	complex	oestradiol_bioavailable_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	oestradiol_free_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	oestradiol_imputation	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	oestradiol_bioavailable_imputation	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	oestradiol_free_imputation	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	oestradiol_order	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	oestradiol_detection	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	testosterone_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	testosterone_bioavailable_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	testosterone_free_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	testosterone_imputation	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	testosterone_bioavailable_imputation	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	testosterone_free_imputation	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	testosterone_order	age;body_log;menstruation_phase_cycle;hormone_alteration
female_premenopause	complex	testosterone_detection	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	vitamin_d_log	assessment_region;assessment_season;age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	vitamin_d_imputation_log	assessment_region;assessment_season;age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	vitamin_d_order	assessment_region;assessment_season;age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	vitamin_d_detection	assessment_region;assessment_season;age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	albumin	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	albumin_imputation	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	albumin_order	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	albumin_detection	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	steroid_globulin_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	steroid_globulin_imputation_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	steroid_globulin_order	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	steroid_globulin_detection	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	oestradiol_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	oestradiol_bioavailable_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	oestradiol_free_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	oestradiol_imputation	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	oestradiol_bioavailable_imputation	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	oestradiol_free_imputation	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	oestradiol_order	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	oestradiol_detection	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	testosterone_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	testosterone_bioavailable_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	testosterone_free_log	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	testosterone_imputation	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	testosterone_bioavailable_imputation	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	testosterone_free_imputation	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	testosterone_order	age;body_log;menstruation_phase_cycle;hormone_alteration
female_perimenopause	complex	testosterone_detection	age;body_log;menstruation_phase_cycle;hormone_alteration
female_postmenopause	complex	vitamin_d_log	assessment_region;assessment_season;age;body_log;hormone_alteration
female_postmenopause	complex	vitamin_d_imputation_log	assessment_region;assessment_season;age;body_log;hormone_alteration
female_postmenopause	complex	vitamin_d_order	assessment_region;assessment_season;age;body_log;hormone_alteration
female_postmenopause	complex	vitamin_d_detection	assessment_region;assessment_season;age;body_log;hormone_alteration
female_postmenopause	complex	albumin	age;body_log;hormone_alteration
female_postmenopause	complex	albumin_imputation	age;body_log;hormone_alteration
female_postmenopause	complex	albumin_order	age;body_log;hormone_alteration
female_postmenopause	complex	albumin_detection	age;body_log;hormone_alteration
female_postmenopause	complex	steroid_globulin_log	age;body_log;hormone_alteration
female_postmenopause	complex	steroid_globulin_imputation_log	age;body_log;hormone_alteration
female_postmenopause	complex	steroid_globulin_order	age;body_log;hormone_alteration
female_postmenopause	complex	steroid_globulin_detection	age;body_log;hormone_alteration
female_postmenopause	complex	oestradiol_log	age;body_log;hormone_alteration
female_postmenopause	complex	oestradiol_bioavailable_log	age;body_log;hormone_alteration
female_postmenopause	complex	oestradiol_free_log	age;body_log;hormone_alteration
female_postmenopause	complex	oestradiol_imputation	age;body_log;hormone_alteration
female_postmenopause	complex	oestradiol_bioavailable_imputation	age;body_log;hormone_alteration
female_postmenopause	complex	oestradiol_free_imputation	age;body_log;hormone_alteration
female_postmenopause	complex	oestradiol_order	age;body_log;hormone_alteration
female_postmenopause	complex	oestradiol_detection	age;body_log;hormone_alteration
female_postmenopause	complex	testosterone_log	age;body_log;hormone_alteration
female_postmenopause	complex	testosterone_bioavailable_log	age;body_log;hormone_alteration
female_postmenopause	complex	testosterone_free_log	age;body_log;hormone_alteration
female_postmenopause	complex	testosterone_imputation	age;body_log;hormone_alteration
female_postmenopause	complex	testosterone_bioavailable_imputation	age;body_log;hormone_alteration
female_postmenopause	complex	testosterone_free_imputation	age;body_log;hormone_alteration
female_postmenopause	complex	testosterone_order	age;body_log;hormone_alteration
female_postmenopause	complex	testosterone_detection	age;body_log;hormone_alteration
male	complex	vitamin_d_log	assessment_region;assessment_season;age;body_log
male	complex	vitamin_d_imputation_log	assessment_region;assessment_season;age;body_log
male	complex	vitamin_d_order	assessment_region;assessment_season;age;body_log
male	complex	vitamin_d_detection	assessment_region;assessment_season;age;body_log
male	complex	albumin	age;body_log
male	complex	albumin_imputation	age;body_log
male	complex	albumin_order	age;body_log
male	complex	albumin_detection	age;body_log
male	complex	steroid_globulin_log	age;body_log
male	complex	steroid_globulin_imputation_log	age;body_log
male	complex	steroid_globulin_order	age;body_log
male	complex	steroid_globulin_detection	age;body_log
male	complex	oestradiol_log	age;body_log
male	complex	oestradiol_bioavailable_log	age;body_log
male	complex	oestradiol_free_log	age;body_log
male	complex	oestradiol_imputation	age;body_log
male	complex	oestradiol_bioavailable_imputation	age;body_log
male	complex	oestradiol_free_imputation	age;body_log
male	complex	oestradiol_order	age;body_log
male	complex	oestradiol_detection	age;body_log
male	complex	testosterone_log	age;body_log
male	complex	testosterone_bioavailable_log	age;body_log
male	complex	testosterone_free_log	age;body_log
male	complex	testosterone_imputation	age;body_log
male	complex	testosterone_bioavailable_imputation	age;body_log
male	complex	testosterone_free_imputation	age;body_log
male	complex	testosterone_order	age;body_log
male	complex	testosterone_detection	age;body_log
male_age_low	complex	vitamin_d_log	assessment_region;assessment_season;age;body_log
male_age_low	complex	vitamin_d_imputation_log	assessment_region;assessment_season;age;body_log
male_age_low	complex	vitamin_d_order	assessment_region;assessment_season;age;body_log
male_age_low	complex	vitamin_d_detection	assessment_region;assessment_season;age;body_log
male_age_low	complex	albumin	age;body_log
male_age_low	complex	albumin_imputation	age;body_log
male_age_low	complex	albumin_order	age;body_log
male_age_low	complex	albumin_detection	age;body_log
male_age_low	complex	steroid_globulin_log	age;body_log
male_age_low	complex	steroid_globulin_imputation_log	age;body_log
male_age_low	complex	steroid_globulin_order	age;body_log
male_age_low	complex	steroid_globulin_detection	age;body_log
male_age_low	complex	oestradiol_log	age;body_log
male_age_low	complex	oestradiol_bioavailable_log	age;body_log
male_age_low	complex	oestradiol_free_log	age;body_log
male_age_low	complex	oestradiol_imputation	age;body_log
male_age_low	complex	oestradiol_bioavailable_imputation	age;body_log
male_age_low	complex	oestradiol_free_imputation	age;body_log
male_age_low	complex	oestradiol_order	age;body_log
male_age_low	complex	oestradiol_detection	age;body_log
male_age_low	complex	testosterone_log	age;body_log
male_age_low	complex	testosterone_bioavailable_log	age;body_log
male_age_low	complex	testosterone_free_log	age;body_log
male_age_low	complex	testosterone_imputation	age;body_log
male_age_low	complex	testosterone_bioavailable_imputation	age;body_log
male_age_low	complex	testosterone_free_imputation	age;body_log
male_age_low	complex	testosterone_order	age;body_log
male_age_low	complex	testosterone_detection	age;body_log
male_age_middle	complex	vitamin_d_log	assessment_region;assessment_season;age;body_log
male_age_middle	complex	vitamin_d_imputation_log	assessment_region;assessment_season;age;body_log
male_age_middle	complex	vitamin_d_order	assessment_region;assessment_season;age;body_log
male_age_middle	complex	vitamin_d_detection	assessment_region;assessment_season;age;body_log
male_age_middle	complex	albumin	age;body_log
male_age_middle	complex	albumin_imputation	age;body_log
male_age_middle	complex	albumin_order	age;body_log
male_age_middle	complex	albumin_detection	age;body_log
male_age_middle	complex	steroid_globulin_log	age;body_log
male_age_middle	complex	steroid_globulin_imputation_log	age;body_log
male_age_middle	complex	steroid_globulin_order	age;body_log
male_age_middle	complex	steroid_globulin_detection	age;body_log
male_age_middle	complex	oestradiol_log	age;body_log
male_age_middle	complex	oestradiol_bioavailable_log	age;body_log
male_age_middle	complex	oestradiol_free_log	age;body_log
male_age_middle	complex	oestradiol_imputation	age;body_log
male_age_middle	complex	oestradiol_bioavailable_imputation	age;body_log
male_age_middle	complex	oestradiol_free_imputation	age;body_log
male_age_middle	complex	oestradiol_order	age;body_log
male_age_middle	complex	oestradiol_detection	age;body_log
male_age_middle	complex	testosterone_log	age;body_log
male_age_middle	complex	testosterone_bioavailable_log	age;body_log
male_age_middle	complex	testosterone_free_log	age;body_log
male_age_middle	complex	testosterone_imputation	age;body_log
male_age_middle	complex	testosterone_bioavailable_imputation	age;body_log
male_age_middle	complex	testosterone_free_imputation	age;body_log
male_age_middle	complex	testosterone_order	age;body_log
male_age_middle	complex	testosterone_detection	age;body_log
male_age_high	complex	vitamin_d_log	assessment_region;assessment_season;age;body_log
male_age_high	complex	vitamin_d_imputation_log	assessment_region;assessment_season;age;body_log
male_age_high	complex	vitamin_d_order	assessment_region;assessment_season;age;body_log
male_age_high	complex	vitamin_d_detection	assessment_region;assessment_season;age;body_log
male_age_high	complex	albumin	age;body_log
male_age_high	complex	albumin_imputation	age;body_log
male_age_high	complex	albumin_order	age;body_log
male_age_high	complex	albumin_detection	age;body_log
male_age_high	complex	steroid_globulin_log	age;body_log
male_age_high	complex	steroid_globulin_imputation_log	age;body_log
male_age_high	complex	steroid_globulin_order	age;body_log
male_age_high	complex	steroid_globulin_detection	age;body_log
male_age_high	complex	oestradiol_log	age;body_log
male_age_high	complex	oestradiol_bioavailable_log	age;body_log
male_age_high	complex	oestradiol_free_log	age;body_log
male_age_high	complex	oestradiol_imputation	age;body_log
male_age_high	complex	oestradiol_bioavailable_imputation	age;body_log
male_age_high	complex	oestradiol_free_imputation	age;body_log
male_age_high	complex	oestradiol_order	age;body_log
male_age_high	complex	oestradiol_detection	age;body_log
male_age_high	complex	testosterone_log	age;body_log
male_age_high	complex	testosterone_bioavailable_log	age;body_log
male_age_high	complex	testosterone_free_log	age;body_log
male_age_high	complex	testosterone_imputation	age;body_log
male_age_high	complex	testosterone_bioavailable_imputation	age;body_log
male_age_high	complex	testosterone_free_imputation	age;body_log
male_age_high	complex	testosterone_order	age;body_log
male_age_high	complex	testosterone_detection	age;body_log
